Text,Class
este tip pregunta mismo funcion tip calcul sala present form opcion multiple imag siguiente muestra ejemplo pregunta sobreimprim valor enuncia  opcion respuesta  introduce formular edicion pregunta ,3
pregunta present visual emparejo arrastre solo clon,3
dentro opcion tip pregunta dispone exist conjunto opcion permit present diam visual list continuo opcion correspondiente enlace pagina document mood ,3
las pregunta emparejo emparejo aleatorio bas pregunta tip respuesta cort ,3
 arrastre solo marcador arrastre solo imag arrastre solo text,3
respuesta and clon elige palabra perd,3
las pregunta ensayo,3
permit realizo pregunta abierto dentro cuestionar puede incl archiv adjunto plantilla siguiente imag muestra opcion format respuesta  editor extension opcion relat archiv adjunto  plantilla  inform evaluo  ,3
estas pregunta aun deb califico form manual puede combina pregunta cuestionar configura cualquier tip configura autocat retroaliment differ retroaliment inmediato no necesario utiliza retroaliment manual cuestionar  ,3
la siguiente imag muestra cuestionar intent realizo pregunta  ensayo no califico pues requiere califa  permit accede formular introduce not comentario venta emergente embargo califa no tras form autocat tabl necesario pues vol califico intento seleccion  marc aquel intento des actualiza ,3
cuando objet cuestionar orient revision practica puede edit obstaculo califa tribu pregunta ensayo puntuacion  manera puede usar pregunta induce reflexion personal no asocia ningun califa ver apart  seleccion pregunta pagina mostro pregunta azar,3
labor cuestionar  organizo herramienta,4
el cuestionar model activ permit primer fas present pregunta alumno segund fas ver analiza result respuesta introduce alumno ,4
en fas prepara trabajo principal dos pagina edit just  edit cuestionar  aunque util rest element señal ,4
en formular pagina edit just  configura funcion cuestionar formular escoge opcion just final cuestionar prueba evaluo activ revision autoevalu establece plaza duracion ejec intent permit acces retroaliment etc formular accede cre nuevo cuestionar aunque puede accede dentro menu ,4
los element excepcion grup excepcion usuari  permit modifico grup usuari determino restriccion temporal establece conjunto participo aul,4
en cuadro dialog pagina edit cuestionar  seleccion pregunta organizo pagina lug podran añade pregunta aleatorio,4
el element vist previa ofrece previsualizar cuestionar  ,4
labor cuestionar  configura funcion edit just,5
par cre cuestionar nuevo activ edicion pues añade activ recurso  seccion correspondiente continuo seleccion cuestionar  pues agrega accede prim lug formular edit just ,5
si cuestionar cre anterior abrir menu desplego pagina principal cuestionar pues edit just ,5
temporalis,5
este apart permit establece plaza temporal realizo cuestionar  tiempo permit realizo mismo  opcion deshabilitar defect uso habitual quier restringe alumno acces respuesta correct ,5
tambien puede leg com gestion cuestionar envio pendiente concluyo tiempo establece  si mantiene opcion marc defect envio realizo form autocat ago tiempo opcion siempre buen permit  unic intent puede desactiva envio autocat permit plaza gracia  no desactivar complet ,5
califa,5
en apart encuentra distinto opcion relacion califa destaca opcion limit numer intent fundamental configura prueba evaluo ,5
este menu desplego permit seleccion categor libr califa añade not cuestionar inform manual libr califa ,5
establece califa aprobo puede ten dos aplica part color not libr califa color verd roj funcion super no cifra establece part marc umbral permit utiliza criterio requiere califa aprobatorio condicion apart finalizo activ inform manual herramienta seguimiento restriccion acces insignia ,5
esta opcion permit limit intent realizo envio cuestionar intent no ago limit alumno opcion realizo nuevo intent despues cad envio ,5
en cas intent opcion permit especifica com calcul not final califa alta promedio prim intent ultima intent,5
ademas opcion conten apart configura relacion puntuacion configura cad pregunta edicion cuestionar ver apart  seleccion pregunta pagina mostro pregunta azar,5
esquema,5
en apart menu desplego pagina nuevo  puede leg numer pregunta van mostro pagina tard formular edit cuestionar podr especifica mayor precision pregunta incl cad pagina ,5
por part menu method nave permit leg opcion libr secuencial ultima puede ser usar fij itinerari aprendizaje cas uso direct cuestionar limit opcion comparte respuesta pregunta uso cuestionar prueba evaluo ,5
comporta pregunta,5
este apart fundamental define si cuestionar prueba evaluo autoevalu orient practica revision conten ver opcion menu desplego  asocia camp comporta pregunta  ,5
en prim lug camp orden azar respuesta  marc defect mostro record respuesta pregunta opcion multiple siempre no establece contrario configura especie pregunta ver apart  baraja respuesta numer opcion,5
a continuo aparece camp comporta pregunta  cuy menu desplego puede vers imag  ,5
por part exam prueba evaluo cont opcion retroaliment differ opcion aparece defect cre nuevo cuestionar no permit exist ningun tip retroaliment orient alumno respuesta correct durant intent permit accede inform despues intent pompon acces califa retroaliment respuesta correct necesario modifico configura apart opcion revision ver ejemplo configura exam apart  ejemplo configura exam ,5
por part cont opcion adapt cuestionar orient practica revision  ,5
mod adapt mod adapt sin penaliza  permit realizo intent suceso mismo pregunta veces pas siguiente pregunta    ,5
interact vari intent  mod adapt permit realizo vari intent mismo pregunta pas siguiente aunque cas numer intent cad pregunta vien define numer post ver apart  multiple intent penaliza cad intent incorrect intent correspondiente pregunta independiente intent especifica cuestionar edit just  califa ver apart ,5
retroaliment inmediato  simio mod interact vari intent cuanto alumno puede envio respuesta inmediatamente intent exam ser califico embargo sol puede envio respuesta no podr cambio continuo,5
ademas exist opcion usar califa manual tip califa puede aplica cuestionar pregunta habitual califico form autocat pref hac califa manual aplica defect pregunta tip ensayo vari configura global cuestionar incl pregunta ,5
es import meten que si aplica califa manual no podr revert aplica tip califa autocat vez alumno envio respuesta ,5
final pod usar method evaluo bas certidumbre cbm siglo ingles certainly bas marking dos version retroaliment differ retroaliment inmediato tip evaluo deb precio ademas respuesta correct nivel certeza relat respuesta escala tres nivel not final ver poder funcion certidumbre manera respuesta correct maxim certidumbre obtener puntuacion complet puntuacion mismo respuesta reduce si marc nivel certidumbre menor ,5
opcion revision,5
este apart permit control acces alumno post retroaliment califa asocia pregunta conjunto cuestionar cuatro fas listing imag continuo muestra opcion aparece marc defect hab modifico ningun valor apart rest aparte conjunto formular ,5
descripcion fas,5
cuando pod desmarca casilla,5
durant intent refiere moment respond pregunta casilla desactiva retroaliment differ comporta pregunta   ,5
por men casilla si correct fas deb marc mod adapt interact multiple intent,5
inmediato despues intent refiere dos primer minut despues pues envio termino,5
tod casilla fas puede desmarca configura tip exam ,5
mas tard cuestionar aun abierto dec cumple fech cierre cuestionar si fech establece,5
tod casilla fas puede desmarca configura tip exam aunque si no establece fech cierre alumno no accede nunc inform,5
despues cero cuestionar ,5
estas casilla desactiva si no establece fech cierre ver apart  temporalis,5
tod casilla fas puede desmarca configura tip exam casilla punt puede desmarca temporal marc alumno puede ver califa libr califa ,5
parent,5
la opcion mostro imag usuari  permit imag perfil usuari identifica muestra pagina cuestionar objet comprobo ident realizo cuestionar coincide usuari identifica ,5
las opcion decimal califa  decimal califa pregunta  permit establece form especie valor  ,5
mostro bloque intent  refiere bloque curs calendario activ reciente  ,5
restriccion extra intent,5
estas opcion permit añade restriccion acces cuestionar utiliza contraseña  establece rang ip direccion red  puede utiliza cuestionar realizo form presencial sal orden opcion   permit establece demo intent opcion seguir nave  permit cuestionar abra venta emergente pantalla complet sistema no asegura no puede accede ventas niveles final opcion  impide defect realizacion cuestionario aplica movil aunque sig siempre posible cuestionar realice usando nave diposit movil ,5
las opcion   marc avanzo punt exclamo lad icon ayuda oculta formular puede desplego colapso pues ver mas ver men  ,5
retroaliment global,5
la retroaliment global cons text alumno leer vez complet intent funcion califa often,5
los comentario   mostro funcion califa often  puede establece nivel intermedio  ,5
finalizo activ,5
el camp finalizo activ sol aparece formular edit just rastro finalizo activ panel gestion  edit configura curs ,5
par pod establece condicion dispone activ cuestionar  necesario marc desplego rastro finalizo  opcion mostro activ complet cumple condicion aparece destaca roj condicion especie requiere califa aprobatorio  ver apart  califa o intent dispone complet ,5
este ultima apart formular necesario guard cambio aplica  ,5
labor cuestionar  excepcion usuari grup,6
en menu desplego administra cuestionar encontro element excepcion grup excepcion usuari opcion permit modifico grup  usuari  determino restriccion temporal establece conjunto participo aul ,6
en imag siguiente muestra opcion agrega excepcion grup  necesario establece grups previa curs ver manual grups agrupa,6
en siguiente imag muestra formular establece excepcion camp reemplazo grup permit leg grup otorgo excepcion  camp se requiere contraseña permit establece contraseña grup  recuadro destaca roj  puede ver motif puede realizo restriccion temporal cuestionar ,6
una vez establece excepcion que registro siguiente list,6
las mismo motif puede aplica usuari especie ,6
un mensaje advierten aparece alumno especifica excepcion no puede accede cuestionar ,6
las razon advierten puede ser ,6
el acces cuestionar condicion pertenece grup no form part ella estudi,6
el cuestionar oculta alumno,6
labor cuestionar  añade pregunta edit cuestionar,7
seleccion pregunta pagina mostro pregunta azar,7
una vez prepara funcion cuestionar vam define pregunta vam incl mismo ello pues edit cuestionar  cargo pregunta cuestionar acces edit cuestionar puede encontro menu desplego  ,7
en pagina edicion pues agrega  desplego opcion cargo pregunta cuestionar una pregunta nuevo del banc pregunta una pregunta aleatorio ,7
la casilla reordeno pregunta azar  opcion edit cabecera  dispone formular,7
com expuesto apart  banc pregunta cuestionar curs convenient maten organizo bat pregunta categor dentro banc pregunta motiv cre pregunta usando opcion agrega  pregunta nuevo recomendo press atencion categor credo ,7
cuando pues agrega  banc pregunta accede vist banc pregunta permit desplaza categor  seleccion pregunta  ,7
cuando import pregunta pagina edit cuestionar permit mov orden pregunta  unir separa pagina  modifico puntuacion pregunta ,7
el cand  permit condicion acces pregunta realizo pregunta anterior sol dispone con ,7
comporta pregunta interact intent multiple retroaliment inmediato ,7
method nave configura libr ,7
opcion reordeno pregunta azar desactiva,7
añade pregunta aleatorio,7
cuando pues agrega  pregunta aleatorio muestra cuadro dialog permit seleccion categor  especifica numer pregunta  indic numer pregunta categor  ,7
previsualizar cuestionar,7
cuando finalizo edicion cuestionar aparece opcion previsualizar cuestionar ahora  opcion siempre dispone element vist previa  menu desplego,7
cuando realizo vist previa rol docente aparece siempre independiente opcion revision seleccion pagina revision cuestionar inform respuesta correct califa retroaliment alumno sol acces revision casilla correspondiente apart opcion revision  inmediato despues cad intent marcas ,7
ejemplo configura exam,8
en apart recoge resnum opcion recomendo uso cuestionar situacion exam objet configura ser ,8
acto acces pregunta fran horario duracion determino,8
establece nave secuencial pregunta desorden respuesta baraja azar en punt deb valor si configura no afecta capaz alumno revis adecua exam  ,8
uso pregunta aleatorio y si procedente pregunta calcul valor numer comodin vari form aleatorio ,8
retroaliment respuesta correct califa general oculta finalizo prueba incluso form permanent ,8
algun element tant part labor pregunta ejemplo respuesta pregunta opcion multiple cualquier tip present vari opcion baraja defect ver apart  baraja respuesta numer opcion import maten buen organizo pregunta categor subcategoria uso pregunta aleatorio sincroniza pregunta calcul,8
opcion import edit just,8
la duracion fran horario que especifica apart temporalis  tant no necesario ten cuestionar oculta dad alumno no puede accede pregunta part dad sol intent opcion el envio realizo autocat ago tiempo adecua ,8
en apart califa  intent permit especie  intent ,8
se marc opcion secuencial  method nave siempre consider opcion no impide alumno realizo revision exam form adecua ,8
en apart comporta pregunta maten opcion aparece defect ,8
en apart opcion revision unic element necesario califa aparezca libr califa casilla punt column despues cero cuestionar casilla puede marc posterior despues revis califa cuestionar ,8
finalizo configura edit cuestionar,8
cuando finalizo especifica opcion formular edit just pas formular edit cuestionar podr usar opcion utiliza pregunta aleatorio  reordeno pregunta azar ,8
banc pregunta cuestionar curs,1
tip cuestionar,1
diferente banc pregunta cuestionar,1
pas cre cuestionar,1
pas cre banc pregunta,1
organizo pregunta banc pregunta,2
cre banc pregunta,2
cre category,2
aplica category subcategoria,2
cre pregunta,2
tip pregunta,2
aspect general creacion pregunta,3
editor radio pregunta respuesta,3
baraja pregunta,3
baraja respuesta,3
numer opcion respuesta,3
retroalimentacion cuestionar,3
admit multiple intent,3
penaliza intent fall,3
penaliza cad intent incorrect,3
pregunta verdadero false,3
pregunta opcion multiple,3
pregunta respuesta cort,3
pregunta numer,3
pregunta emparejo,3
pregunta arrastre solo,3
elaboracion cuestionar,4
organizo herramienta,4
elaboracion cuestionar,5
configura funcion edit just,5
edit just,5
temporalizacion,5
calificacion,5
esquema,5
comporta pregunta,5
opcion revision,5
parent,5
restriccion extra intent,5
retroalimentacion global,5
finalizacion activ,5
elaboracion cuestionar,6
excepcion usuari,6
excepcion grup,6
edit restriccion temporal establece participo,6
añade excepcion,6
añade fech apertura cuestionar,6
añade fech cero cuestionar,6
añade limit tiempo cuestionar,6
añade intent permit cuestionar,6
elaboracion cuestionar,7
añade pregunta edit cuestionar,7
seleccion pregunta ,7
paginacion,7
mostro pregunta azar,7
edit cuestionar,7
agrega nuevo pregunta,7
agrega banc pregunta,7
previsualizar cuestionar,7
añade pregunta aleatorio,7
ejemplo configuracion exam,8
configuracion exam,8
com debera configura cuestionar exam,8
